2017-05-06 09 	266
2017-05-06 10 	18
2017-05-06 14 	222
2017-05-06 15 	23
2017-05-06 16 	2
2017-05-06 22 	5
2017-05-07 00 	20
2017-05-07 05 	190
2017-05-07 06 	980
2017-05-07 07 	815
2017-05-07 08 	630
2017-05-07 09 	287
2017-05-07 10 	34
2017-05-07 11 	1
2017-05-07 13 	2
2017-05-07 14 	234
2017-05-07 15 	26
2017-05-07 16 	8
2017-05-08 00 	24
2017-05-08 05 	265
2017-05-08 06 	949
2017-05-08 07 	801
2017-05-08 08 	827
2017-05-08 09 	403
2017-05-08 10 	36
2017-05-08 11 	4
2017-05-08 13 	17
2017-05-08 14 	272
2017-05-08 15 	51
2017-05-08 16 	8
2017-05-09 00 	12
2017-05-09 05 	238
2017-05-09 06 	1006
2017-05-09 07 	819
2017-05-09 08 	815
2017-05-09 09 	395
2017-05-09 10 	122
2017-05-09 11 	3
2017-05-09 13 	27
2017-05-09 14 	265
2017-05-09 15 	58
2017-05-09 16 	15
2017-05-10 00 	16
2017-05-10 05 	212
2017-05-10 06 	935
2017-05-10 07 	770
2017-05-10 08 	842
2017-05-10 09 	422
2017-05-10 10 	72
2017-05-10 13 	42
2017-05-10 14 	291
2017-05-10 15 	56
2017-05-10 16 	12
2017-05-10 20 	1
2017-05-11 00 	19
2017-05-11 05 	285
2017-05-11 06 	959
2017-05-11 07 	812
2017-05-11 08 	939
2017-05-11 09 	462
2017-05-11 10 	81
2017-05-11 11 	3
2017-05-11 13 	2
2017-05-11 14 	265
2017-05-11 15 	73
2017-05-11 16 	17
2017-05-12 00 	12
2017-05-12 05 	340
2017-05-12 06 	927
2017-05-12 07 	880
2017-05-12 08 	878
2017-05-12 09 	434
2017-05-12 10 	99
2017-05-12 11 	7
2017-05-12 13 	1
2017-05-12 14 	266
2017-05-12 15 	83
2017-05-12 16 	11
2017-05-13 00 	17
2017-05-13 05 	341
2017-05-13 06 	1103
2017-05-13 07 	896
2017-05-13 08 	754
2017-05-13 09 	359
2017-05-13 10 	80
2017-05-13 11 	6
2017-05-13 14 	244
2017-05-13 15 	68
2017-05-13 16 	7
2017-05-13 17 	4
2017-05-14 00 	17
2017-05-14 05 	431
2017-05-14 06 	1072
2017-05-14 07 	901
2017-05-14 08 	726
2017-05-14 09 	330
2017-05-14 10 	84
2017-05-14 11 	1
2017-05-14 14 	208
2017-05-14 15 	48
2017-05-14 16 	10
2017-05-14 18 	1
2017-05-15 00 	15
2017-05-15 05 	308
2017-05-15 06 	965
2017-05-15 07 	961
2017-05-15 08 	785
2017-05-15 09 	459
2017-05-15 10 	122
2017-05-15 13 	1
2017-05-15 14 	270
2017-05-15 15 	64
2017-05-15 16 	3
2017-05-15 17 	9
2017-05-15 18 	7
2017-05-15 19 	2
2017-05-16 00 	14
2017-05-16 05 	289
2017-05-16 06 	1045
2017-05-16 07 	895
2017-05-16 08 	851
2017-05-16 09 	400
2017-05-16 10 	94
2017-05-16 11 	3
2017-05-16 14 	267
2017-05-16 15 	79
2017-05-16 16 	4
2017-05-17 00 	19
2017-05-17 05 	322
2017-05-17 06 	994
2017-05-17 07 	903
2017-05-17 08 	879
2017-05-17 09 	444
2017-05-17 10 	108
2017-05-17 11 	1
2017-05-17 14 	216
2017-05-17 15 	93
2017-05-17 16 	15
2017-05-18 00 	32
2017-05-18 05 	270
2017-05-18 06 	1094
2017-05-18 07 	835
2017-05-18 08 	893
2017-05-18 09 	421
2017-05-18 10 	88
2017-05-18 11 	2
2017-05-18 14 	229
2017-05-18 15 	85
2017-05-18 16 	12
2017-05-18 18 	1
2017-05-18 19 	2
2017-05-19 00 	41
2017-05-19 05 	294
2017-05-19 06 	1065
